Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
,,75.4,"Incomplete Open Cube
1974
Sol LeWitt
(United States, North America)
Painted aluminum
42 x 42 x 42 in. (106.7 x 106.7 x 106.7 cm)","© 2009 The LeWitt Estate / Artists Rights Society (ARS), New York ",,,,Yes,Yes,Yes,Holding for bulk ARS order
,,69.132,"Tahkt-I-Sulayman Variation II
1969
Frank Stella
(United States, North America)
Acrylic on canvas
120 x 240 in. (304.8 x 609.6 cm)
Gift of Bruce B. Dayton 69.132 
","© 2014 Frank Stella / Artists Rights Society (ARS), New York",,,,,,,
,,2012.77a-d,"Do Ho Suh, Korean, born 1962
Some/One, 2005
Stainless steel, military dog tags, fiberglass resin
The John R. Van Derlip Fund and gift of funds from the Sit Investment Associates Foundation 2012.77a-d",© 2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin ,Yes,Yes,Yes,
,,2012.77a-d,"Do Ho Suh, Korean, born 1962
Some/One, 2005
Stainless steel, military dog tags, fiberglass resin
The John R. Van Derlip Fund and gift of funds from the Sit Investment Associates Foundation 2012.77a-d",© 2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,Yes,Yes,Yes,
,,2012.77a-d,"Do Ho Suh, Korean, born 1962
Some/One, 2005
Stainless steel, military dog tags, fiberglass resin
The John R. Van Derlip Fund and gift of funds from the Sit Investment Associates Foundation 2012.77a-d",© 2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,Yes,Yes,Yes,
,,2012.77a-d,"Do Ho Suh, Korean, born 1962
Some/One, 2005
Stainless steel, military dog tags, fiberglass resin
The John R. Van Derlip Fund and gift of funds from the Sit Investment Associates Foundation 2012.77a-d",© 2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,Yes,Yes,Yes,
130906_mia327_7938.jpg,,2012.77a-d,"Installation view of Do Ho Suh's ""Some/One,"" 2008 The Minneapolis Institute of Arts",© 2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,NO,NO,NO,PENDING APPROVAL 
,,2012.77a-d,"Do Ho Suh installs ""Some/One"" (2001) at the Seattle Art Museum, Washington, 2002
Production still from the ""Art in the Twenty-First Century"" Season 2 episode, ""Stories,"" 2003
Artwork courtesy of the artist and Lehmann Maupin Gallery, New York
© Art21, Inc. 2003","© Art21, Inc. 2003",Art21,webform: http://www.art21.org/node/3222/done?sid=2870,NS Contact 01/22/2015,NO,NO,NO,PENDING APPROVAL 
140508_mia356_0042.jpg,N/A,2012.77a-d,"Installation view of Do Ho Suh's ""Some/One,"" 2008 The Minneapolis Institute of Arts",©2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,YES,YES,YES,
140508_mia356_0032.jpg,N/A,2012.77a-d,"Installation view of Do Ho Suh's ""Some/One,"" 2008 The Minneapolis Institute of Arts",©2014 Minneapolis Institute of Arts,Minneapolis Institute of Arts,"Gregory La Rico Archivist 
gregory@lehmannmaupin.com",(c)the artists; Lehmann Maupin,YES,YES,YES,
