Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
mia_6000030.tif ,mia_6000030.tif ,2011.52,"Artist Unknown (Osage)
Friendship Blanket
c. 1900
Wool, beads, silk ribbon
62 5/8 x 68 in. (159.07 x 172.72 cm)
The George Family Acquisition Fund for Native American Art 2011.52 ",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
1924_Indian_Citizenship_Act.jpg,2014_TDX_MIAArtStories_231.tif,2011.52,U.S. President Calvin Coolidge with four Osage Indians after Coolidge signed the bill granting Indians full citizenship.,,http://en.wikipedia.org/wiki/File:1924_Indian_Citizenship_Act.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
549508_web_editedOsage-Map.jpg,2014_TDX_MIAArtStories_250.tif,2011.52,Osage Ancestral Territory map.,,"http://pawhuskajournalcapital.com/sites/pawhuskajournalcapital.com/files/article/549508_web_editedOsage-Map.jpg
",Osage Nation Tribal Museum 918-287-5441,Requested,Yes,Yes,Yes,
Map_of_Traditional_Osage_Tribal_Lands_by_Late_17th_Century.jpg,2014_TDX_MIAArtStories_240.tif,2011.52,Map of Traditional Osage Tribal Lands by late 17th century.,,http://upload.wikimedia.org/wikipedia/commons/a/ae/Map_of_Traditional_Osage_Tribal_Lands_by_Late_17th_Century.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
Little_osages.jpg,2014_TDX_MIAArtStories_239.tif,2011.52,An Osage Warrior.,"Artwork by Charles B.J. de Saint-Memin, ca. 1807",http://commons.wikimedia.org/wiki/File:Little_osages.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
mia_6002382.tif,mia_6002382.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_6002387.tif,mia_6002387.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_6003312.tif,mia_6003312.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_6002370.tif,mia_6002370.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
image.php.jpeg,2014_TDX_MIAArtStories_249,2012.27,French justaucorps.,,http://objektkatalog.gnm.de/objekt/T1660  ,Germanic National Museum,Requested,Yes,Yes,Yes,
"Gustav_III-_rock,_väst,_byxor,_livgehäng_och_stövlar_till_jaktdräkt_-_Livrustkammaren_-_86116.tif",2014_TDX_MIAArtStories_248.tif,2012.27,French justaucorps.,"© Matti Östling, The Royal Armory Stockholm","http://commons.wikimedia.org/wiki/File:Gustav_III:_rock,_v%C3%A4st,_byxor,_livgeh%C3%A4ng_och_st%C3%B6vlar_till_jaktdr%C3%A4kt_-_Livrustkammaren_-_86116.tif",,Wikimedia Commons,Yes,Yes,Yes,
Caribou.jpg,2014_TDX_MIAArtStories_235.tif,2012.27,Caribou.,By Dean Biggins (U.S. Fish and Wildlife Service),http://commons.wikimedia.org/wiki/File:Caribou.jpg,,Wikimedia Commons,Yes,Yes,Yes,
248_1b.gif,2014_TDX_MIAArtStories_255.tif,2012.27,Tools for making a hunting coat.,,http://www.historymuseum.ca/cmc/exhibitions/tresors/treasure/248eng.shtml ,,Requested,Yes,Yes,Yes,
DSCN0114.JPG,2014_TDX_MIAArtStories_237.tif,2012.27,Woman sewing caribou hide.,T. Andrews / GNWT,http://www.chesterfieldinlet.com/chesterfield-inlet-caribou-hunting-trips.htm ,"Tom Andrews, PhD - tom_andrews@gov.nt.ca - Territorial Archaeologist Manager, NWT Cultural Places Program Prince of Wales Northern Heritage Centre PO Box 1320, Yellowknife, NT  X1A 2L9 Canada ",Permission granted for use as described below.  Please send me a link to the completed website. (Tom Andrews),Yes,Yes,Yes,Requested larger file
mia_6003303.tif,mia_6003303.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_5000424.tif,mia_5000424.tif,"43.4.1, 43.4.2","Artist Unknown (Chimu)
Ear spool
1150-1450
Gold alloy
5 3/8 x 5 in. (13.65 x 12.7 cm)
The William Hood Dunwoody Fund 43.4.1",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
Yanacocha-Goldmine.jpg,2014_TDX_MIAArtStories_241.tif,"43.4.1, 43.4.2",Map showing Andean gold mines/production centers and/or movement northward.,© 2005 Euyasik,http://commons.wikimedia.org/wiki/File:Yanacocha-Goldmine.jpg,,"By Euyasik (Own work) [GFDL (http://www.gnu.org/copyleft/fdl.html) or CC-BY-SA-4.0-3.0-2.5-2.0-1.0 (http://creativecommons.org/licenses/by-sa/4.0-3.0-2.5-2.0-1.0)], via Wikimedia Commons",Yes,Yes,Yes,
tumbaga-corrodes.jpg,2014_TDX_MIAArtStories_254.tif,"43.4.1, 43.4.2",Diagram of tumbaga.,Courtesy of Penn Museum,http://www.penn.museum/sites/expedition/files/1999/07/tumbaga-corrodes.jpg ,,Granted,Yes,Yes,Yes,
"Brooklyn_Museum_-_Atahualpa,_Fourteenth_Inca,_1_of_14_Portraits_of_Inca_Kings_-_overall.jpg",2014_TDX_MIAArtStories_233.tif,"43.4.1, 43.4.2","The last Inca king, Atahualpa.",Brooklyn Museum,"http://en.wikipedia.org/wiki/Atahualpa#mediaviewer/File:Brooklyn_Museum_-_Atahualpa,_Fourteenth_Inca,_1_of_14_Portraits_of_Inca_Kings_-_overall.jpg ",,Wikimedia Commons,Yes,Yes,Yes,
mia_7902b.tif,mia_7902b.tif,"43.4.1, 43.4.2","Vessel 
1300-1550
Artist Unknown (Inka)
Peru, South America
Wood, pigment
7 9/16 x 4 7/16 in. (19.21 x 11.27 cm)",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
NEED IMAGE,NEED IMAGE,"43.4.1, 43.4.2","Fan
c. 1000
Artist Unknown
Peru, South America
Feathers, plant fibers, thread
10 3/4 x 8 3/4 x 3/8 in. (27.3 x 22.2 x 1 cm) (approximately)",,,,,No,No,No,
mia_2009855.tif,mia_2009855.tif,83.168,"Equestrian Figure
about 1450
Artist Unknown
Mali, Africa
Wood
28 1/4 x 6 3/4 x 10 1/4 in. (71.8 x 17.1 x 26cm) (overall)
3 x 6 x 7 1/2 in. (7.6 x 15.2 x 19.1cm) (base)",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_2009840.tif,mia_2009840.tif,83.168,"Equestrian Figure
about 1450
Artist Unknown
Mali, Africa
Wood
28 1/4 x 6 3/4 x 10 1/4 in. (71.8 x 17.1 x 26cm) (overall)
3 x 6 x 7 1/2 in. (7.6 x 15.2 x 19.1cm) (base)",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
erez.jpg,2014_TDX_MIAArtStories_251.tif,83.168,"Djene, Mali, Horse and Rider.",Photo by Jamison Miller © Nelson-Atkins Museum,http://www.nelson-atkins.org/collections/iscroll-objectview.cfm?id=27924 ,,Granted,Yes,Yes,Yes,
DP102141.jpg,2014_TDX_MIAArtStories_236.tif,83.168,Necklace.,Metropolitan Museum of Art,http://www.metmuseum.org/collection/the-collection-online/search/317909?rpp=30&pg=1&rndkey=20141124&ft=*&deptids=5&what=Copper|Necklaces&pos=1,,OASC,Yes,Yes,Yes,"Date: 14th century (?)
Geography: Mali, Inland Niger Delta region
Culture: Djenné peoples
Medium: Copper alloy (cast), cotton cord
Dimensions: Length (necklace) 15 inches
Classification: Metal-Ornaments
Credit Line: Gift of Drs. John and Nicole Dintenfass, 1998
Accession Number: 1998.480.6"
Berber_warriors_show.jpeg,2014_TDX_MIAArtStories_232.tif,83.168,Berber Warriors Show.,© 2006 Notwist,http://commons.wikimedia.org/wiki/Barb_Horse#mediaviewer/File:Berber_warriors_show.JPG ,,Attribution 3.0 Wikimedia Commons,Yes,Yes,Yes,
eepa_16633.jpg,2014_TDX_MIAArtStories_238.tif,83.168,"Eliot Elisofon, Veranda posts installed in the courtyard of the Palace, Effon-Alaiye, Nigeria, 1970.","Eliot Elisofon Photographic Archives, National Museum of African Art",http://siris-archives.si.edu/ipac20/ipac.jsp?session=141CB8K242098.2300&menu=search&aspect=subtab157&npp=50&ipp=20&spp=20&profile=all&ri=&term=eepa_16633&index=.GW&x=12&y=3&aspect=subtab157&term=&index=.AW&term=&index=.SW&term=&index=.TW&term=&index=.FW,,Requested,Yes,Yes,Yes,
Combined_Mali_goldtrade_FINAL.png,2014_TDX_MIAArtStories_425.tif,83.168,Map of African Kingdoms.,© 2014 Minneapolis Institute of Arts,http://new.artsmia.org/creativeconnections/equestrian-figure/ ,,,Yes,Yes,Yes,
h2_gold_1.jpg,2014_TDX_MIAArtStories_252.tif,83.168,"Mansa Musa holding a lump of gold, as illustrated on a Spanish map from 1375.","Image courtesy of the British Library. The original is held by the Bibliothèque Nationale, Paris",http://www.metmuseum.org/toah/hd/mali/hd_mali.htm,,Requested,Yes,Yes,Yes,
Horses-Durbar400.jpg,2014_TDX_MIAArtStories_253.tif,83.168,Men riding horses at the Durbar festival.,Naijalog,http://naijalog.com/kano-cancels-700-year-old-durbar-celebration-due-to-boko-haram/,,Requested more info on where to request permission,Yes,Yes,Yes,
Pending,Pending,83.168,Letter in the curatorial file.,,Scan of letter,,,Yes,No,No,
Pending,Pending,83.168,"CAT Scan of Equestrian Figure, 2012.",Dr. Marc Ghysels,CAT Scan Image,,,Yes,No,No,

