Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
Reshoot. See comments. images already in Mediabin,141201_mia328_9038.jpg,2009.60a-s,"Red-and-blue-laced Suite of Armor from the Kii Tokugawa Family
early 17th century
Saotome Iechika
Japan, Asia
Iron, leather, lacquer, silk, wood, gold leaf, and powder, bear fur
",© 2014 Minneapolis Institute of Arts,,,,No,No,No,Author: Andreas  141201_mia328_9038.jpg 141201_mia328_9034.jpg   141201_mia328_9040.jpg    141201_mia328_9041.jpg   141201_mia328_9054.jpg    141201_mia328_9048.jpg
Satsuma-samurai-during-boshin-war-period.jpg,2014_TDX_MIAArtStories_059.tif,2009.60a-s,"Samurai of the Chosyu clan, during the Boshin War period","Felice Beato [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Satsuma-samurai-during-boshin-war-period.jpg,,,Yes,Yes,Yes,Armor (Samurai Culture)
Bushido_Calligraphy.jpg,2014_TDX_MIAArtStories_007.tif,2009.60a-s,The Japanese Characters for Bushido written in Gyo-Kaisho style calligraphy. Included down the side are the 7 common tenets of Bushido.,"By Michiko Imai (Own work) [CC-BY-SA-3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Bushido_Calligraphy.jpg,,,Yes,Yes,Yes,Armor (Samurai Culture)
Tokugawa_Aoi_Old_design（No_background_and_Black_color_drawing）.svg,2014_TDX_MIAArtStories_061.tif,2009.60a-s,Tokugawa Crest,"By Mukai (Own work) [CC-BY-SA-3.0 (http://creativecommons.org/licenses/by-sa/3.0)], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Tokugawa_Aoi_Old_design%EF%BC%88No_background_and_Black_color_drawing%EF%BC%89.svg  ,,,Yes,Yes,Yes,Armor (Tokugawa Family Crest)
Samurai.jpg,2014_TDX_MIAArtStories_058.tif,2009.60a-s,Samurai in armor,"Felice Beato [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Samurai.jpg,,,Yes,Yes,Yes,Armor (Samurai Culture)
Samurai_in_1880.jpg,2014_TDX_MIAArtStories_055.tif,2009.60a-s,"Kabuki actors dressed like samurai, handcolored photograph around 1880","By Raimond, Baron Stillfried [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Samurai_in_1880.jpg,,,Yes,Yes,Yes,Armor (Samurai Culture)
Samurai_with_tachi.png,2014_TDX_MIAArtStories_057.tif,2009.60a-s,Samurai with tachi,"By Hayakawa Kyuukei [Public domain or Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Samurai_with_tachi.png ,,,Yes,Yes,Yes,Armor (Samurai Culture)
IkedaNagaoki.gif,2014_TDX_MIAArtStories_046.tif,2009.60a-s,Ikeda Nagaoki. 1864,"Ikeda Nagaoki. 1864 photograph. Source: ""Ancient images of the Bakumatsu and Meiji periods"".  {{PD-1923}}",http://commons.wikimedia.org/wiki/File:IkedaNagaoki.gif ,,,Yes,Yes,Yes,Armor (Samurai Culture)
Samurai_with_sword.jpg,2014_TDX_MIAArtStories_056.tif,2009.60a-s,Armoured samurai with sword and dagger,"Armoured samurai with sword and dagger, circa 1860, {{PD-US-1923-abroad}}",http://en.wikipedia.org/wiki/File:Samurai_with_sword.jpg ,,,Yes,Yes,Yes,Armor (Samurai Culture)
Eiganotomo-thesevensamurai-dec1953.jpg,2014_TDX_MIAArtStories_012.tif,2009.60a-s,"Filming of ""The Seven Samurai"" from Eiga no Tomo (December 1953) ","By Eiga no Tomo (Eiga no Tomo (映画の友)) [Public domain], via Wikimedia Commons",http://commons.wikimedia.org/wiki/File:Eiganotomo-thesevensamurai-dec1953.jpg ,,,Yes,Yes,Yes,Armor (Samurai Culture)
,NEEDS VIDEO?,2009.60a-s,,,http://www.mustlovejapan.com/howto/howto_wear_yoroi/,"video_production@mustlovejapan.com, comment@mustlovejapan.com  Roma emailed 11/19, follow up 12/2",,No,No,No,Amor- How to put on a suit               Xiaolu already worked with this video. I'm not sure where it 'lives' but she has it. RR 1/9/2015
mia_6019743.tif,N/A,2009.60a-s,"Six-panel folding screen, one of a pair of (left) The Battle of Yashima, Scenes from The Tale of the Heike Tosa School 17th century, mid-17th century One of a pair of six-panel folding screens; ink, color, and gold on gilded paper 66 1/2 x 24 in. (each panel) Origin: Japan, Asia The William Hood Dunwoody Fund, 70.23.1",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Armor (Samurai Culture)  I submitted this for VR a long time ago to have it photographed. So...... not sure where it is.. my guess is the new file name is mia_6019743.tif 
mia_6019762.tif,N/A,2009.60a-s,"Six-panel folding screen, one of a pair of (right) The Battle of Ichinotani, Scenes from The Tale of the Heike Tosa School 17th century, mid-17th century One of a pair of six-panel folding screens; ink, color, and gold on gilded paper 66 1/2 x 24in. Origin: Japan, Asia The William Hood Dunwoody Fund, 70.23.2",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Armor (Samurai Culture)  I submitted this for VR a long time ago to have it photographed. So...... not sure where it is.. my guess is the new file name is mia_6019762.tif
clark_1995012ab_01026.tif  clark_1995012ab_01021.tif,N/A,2013.29.14.1-2,"Scenes from the Tale of Genji in the Four Seasons: Autumn and Winter [pt. 2; left]
mid-17th century
Artist Unknown (Japanese)
Japan, Asia
Six-panel folding screen; ink and colors on gold leaf
62 × 140 7/8 in.(image)
",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
clark_1995012ab_01026.tif  clark_1995012ab_01021.tif,N/A,2013.29.14.1-2,"Six-panel folding screen Kemari Scene from the Tale of Genji Japanese, 18th century, 18th century Ink and color on gold leaf Gift of the Clark Center for Japanese Art & Culture. 2013.29.14.1-2",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Tale of Genji- New Herbs
mia_40912a.tif,N/A,2013.29.14.1,"Ukiyo-e (bijin-ga) Two Women and a Man as Mitate of the Aoi's Story from the Tale of Genji Genji, Aoi Okumura Masanobu Japanese, 18th century, early 18th century Woodblock print (sumizuri-e); ink on paper 10 1/8 x 14 in. (image, sheet) Origin: Japan, Asia Gift of Ruth Lathrop Sikes in memory of her brother Bruce Sikes, 1967. P.13,927",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Tale of Genji- mitate
mia_5010986.tif,N/A,2013.29.14.1,"Hanging scroll Murasaki Shikibu on the Veranda Watanabe Seitei 20th century, c. 1900-1910 Hanging scroll; ink and color on silk 48 7/16 x 19 5/16 in. (image) Origin: Japan, Asia The Louis W. Hill, Jr. Fund. 2009.8.2",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,Tale of Genji- Murasaki Shikibu
