Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
dtc_236_tif.gif,2014_TDX_MIAArtStories_209.tif,2012.16,"Terence Lynch, “The Geometric Body in Dürer's Engraving Melencolia I,” Journal of the Warburg and Courtauld Institutes, Vol. 45 (1982), pp. 226-32.",The Warburg Institute,http://www.jstor.org/stable/750979?seq=3,https://www.copyright.com/basicSearch.do,"Have not heard from Warburg Institute after contacting multiple times.
CCC cannot give permission so I contacted The Warburg Institute directly at warburg.archive@sas.ac.uk on 12/12/14. Because this is a scholarly article fees should be waived per their website: http://warburg.sas.ac.uk/photographic-collection/charges-for-photographs/

11/19/14 response via email: Thank you for contacting Copyright Clearance Center (CCC). CCC provides permission for the reproduction and distribution of copyrighted materials in print and electronic formats on behalf of copyright owners who list their titles with us. Please be advised that orders requiring review of the publishers will need up to 15 business days for processing. Please allow the publisher this amount of time to process your request. If you do not hear from us after 15 business days, kindly let me know so that I can make a follow up. If you have any further questions, please contact a Customer Service Representative at the above phone number or send an email to info@copyright.com. 
Sincerely,  Sean Benedict G. Uy
Customer Service Representative
Copyright Clearance Center
222 Rosewood Drive
Danvers, MA 01923
+1.855.239.3415 Toll Free
+1.978.646.8600 Fax
www.copyright.com
",Yes,Yes,Yes,"Credit line says The Minneapolis Institute of Arts but should be The Warburg Institute
"
Heinrich_Cornelius_Agrippa00.jpg,2014_TDX_MIAArtStories_210.tif,2012.16,Portrait of Cornelius Agrippa.,Image from the History of Medicine (NLM). Licensed under [Public Domain] via Wikimedia Commons,"http://upload.wikimedia.org/wikipedia/commons/4/46/Heinrich_Cornelius_Agrippa00.jpg
OR
http://commons.wikimedia.org/wiki/Category:Heinrich_Cornelius_Agrippa_von_Nettesheim ",,"Artist is unknown.
NLM believes this work is in the public domain.
Whenever possible, the National Library of Medicine (NLM) provides information about copyright owners in its catalog or metadata records. The Library generally does not own rights in its collections and cannot grant or deny permission to publish or otherwise distribute material in its collections. The Library does not charge permission or usage fees for the use of its materials.
http://www.nlm.nih.gov/hmd/copyright/",Yes,Yes,Yes,
VERSOS~1.JPG,2014_TDX_MIAArtStories_213.tif,2012.16,"Albrecht Dürer (German, 1471–1528)
""Self-Portrait,"" c. 1491–92
Pen and ink
Universität Erlangen-Nürnberg Shelfmark H62/B 155","Erlangen, Graphic Collection of the University (B 155v)","http://digital.bib-bvb.de/R/HIIVEBB84AUJI2C3JE8X3G8SL7P2IRKNNSVMIIYUYFGVCTCL31-01114?func=results-jump-full&set_entry=000005&set_number=000356&base=UBE
OR
http://digital.bib-bvb.de/view/bvbmets/viewer.0.5.jsp?folder_id=0&dvs=1417807229913~415&pid=3099912&locale=en&usePid1=true&usePid2=true","

ub-handschriften@fau.de","We are glad to give you the authorization for the reproduction of our drawing B 155v in your educational program.
Creditline:
Erlangen, Graphic Collection of the University (B 155v)
Can you send us the text of Thomas Rassieur as pdf or similar?
Kind regards
Sigrid Kohlmann
Department Manuscripts, Rare Books, Graphic Collection
University Library Erlangen-Nürnberg
Universitätsstr. 4
91054 Erlangen
Tel.: +49 9131 852 21 59, Fax: +49 9131 852 93 09
http://www.ub.fau.de

The right  to use reproductions is restricted to personal or scholarly use. For any other  use, e.g. commercial purposes,  a special agreement is required. No  reproductions may be handed on to third parties without prior permission from  the University Library. The  customer is responsible for the compliance of any use with the rights of  others, e.g.  personality rights,  copyright. Any  information on the document must be accompanied by the phrase  ""Universitätsbibliothek Erlangen-Nürnberg"" plus the document's shelfmark.    You need to  obtain a permit from the University Library prior to the reproduction of images from manuscripts or special  holdings. Fees are regulated in Allgemeine Benutzungsordnung der  Bayerischen Staatlichen Bibliotheken (ABOB), cf. Gebühren  für Nutzungsrechte, § 25.    ",Yes,Yes,Yes,
2014_TDX_MIAArtStories_378.tif,2014_TDX_MIAArtStories_378.tif,2012.16,"Terence Lynch, “The Geometric Body in Dürer's Engraving Melencolia I"", Journal of the Warburg and Courtauld Institutes, Vol. 45 (1982), pp. 226–32.
",The Warburg Institute,,,,Yes,Yes,Yes,
mia_5014411.tif,mia_5014411_Overlay.tif,2012.16,"Albrecht Dürer, German, 1471–1528, Melencolia I (detail)

",Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
mia_5014413.tif,mia_5014413_Crop.tif,2012.16,"Albrecht Dürer, German, 1471–1528, ""Melencolia I"" (detail), P.167
",Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,
mia_5014413.tif,mia_5014413_CropOverlay.tif,2012.16,"Albrecht Dürer, German, 1471–1528, ""Melencolia I"" (detail), P.167

",Minneapolis Institute of Arts,,,,Yes,Yes,Yes,"I goofed on the overlay that you did for the magic square on Melencolia as it is not P.167 as the caption information says. It might be P.167 but it should say 2012.16. Wrong image--my fault. You don't need to do it again though. Just take out P.167, detail in the caption information."
mia_5030740.tif,mia_5030740.tif,2012.16,"Albrecht Dürer (German, 1471–1528)
""Melencolia I,"" 1514
Engraving
9 3/8 x 7 5/16 in. (plate); 9 5/8 x 7 5/8 in. (sheet)
The Ethel Morrison Van Derlip Fund, proceeds from the 2011 Minneapolis Print and Drawing Fair, the Richard Lewis Hillstrom Fund, gift of funds from Nivin MacMillan, the Winton Jones Endowment Fund for Prints and Drawings, and gift of Herschel V. Jones, gift of Mrs. Ridgely Hunt, and gift of Miss Eileen Bigelow and Mrs. O. H. Ingram, in memory of their mother, Mrs. Alice F. Bigelow, by exchange, 2012.16 
",Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,Tom
mia_5030749.tif,mia_5030749.tif,2012.16,"Albrecht Dürer (German, 1471–1528)
""Melencolia I,"" 1514
Engraving
9 3/8 x 7 5/16 in. (plate); 9 5/8 x 7 5/8 in. (sheet)
The Ethel Morrison Van Derlip Fund, proceeds from the 2011 Minneapolis Print and Drawing Fair, the Richard Lewis Hillstrom Fund, gift of funds from Nivin MacMillan, the Winton Jones Endowment Fund for Prints and Drawings, and gift of Herschel V. Jones, gift of Mrs. Ridgely Hunt, and gift of Miss Eileen Bigelow and Mrs. O. H. Ingram, in memory of their mother, Mrs. Alice F. Bigelow, by exchange, 2012.16 
",Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,Detail of Melencolia I
mia_5030761.tif,mia_5030761.tif,2012.16,"Albrecht Dürer (German, 1471–1528)
""Melencolia I,"" 1514
Engraving
9 3/8 x 7 5/16 in. (plate); 9 5/8 x 7 5/8 in. (sheet)
The Ethel Morrison Van Derlip Fund, proceeds from the 2011 Minneapolis Print and Drawing Fair, the Richard Lewis Hillstrom Fund, gift of funds from Nivin MacMillan, the Winton Jones Endowment Fund for Prints and Drawings, and gift of Herschel V. Jones, gift of Mrs. Ridgely Hunt, and gift of Miss Eileen Bigelow and Mrs. O. H. Ingram, in memory of their mother, Mrs. Alice F. Bigelow, by exchange, 2012.16 
",Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,Detail of Melencolia I
