Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
Various (MIA Photography),N/A,61.36.14,"Henri Matisse (French, 1869–1954)
Three Bathers, 1907
Oil on canvas
23 3/4 x 28 3/4 in. 
Bequest of Putnam Dana McMillan, 61.36.14 
","© 2014 Minneapolis Institute of Arts
© 2015 Succession H. Matisse / Artists Rights Society (ARS), New York",,,,Yes,Yes,Yes,
2014_TDX_MIAArtStories_426.tif,2014_TDX_MIAArtStories_426.tif,61.36.14,"Paul Cézanne (French, 1839–1906) 
Three Bathers, 1879–82
Oil on canvas
21 7/16 x 20 5/16 in.
Gift of M. and Mme Henri Matisse, 1936, PPP02099","Petit Palais, Musée des Beaux-Arts de la Ville de Paris",Wikimedia Commons,"Claire MARTIN
Chargée d’études documentaires
Petit Palais, Musée des Beaux-Arts de la Ville de Paris
DAC-ContactDocumentationPetitPalais@paris.fr
","Wikimedia Commons.
From Parisienne de Photographie:
Regarding the use, I am not sure to understand the “digital platform”.
Would like to use it on website of Minneapolis institute of Arts as illustration, wouldn’t it?
 
Wikimedia commons proposes this work, I don’t know how fees are managed from this source.
 
Best regards,
Perrine
 
Perrine Latrive - Chargée de Projets culturels
3 rue des Arquebusiers 75003 Paris
Téléphone +33 (0)1 44 61 99 75
perrine.latrive@parisiennedephotographie.fr
www.roger-viollet.fr
",Yes,Yes,Yes,
detail_2014_TDX_MIAArtStories_426.tif,2014_TDX_MIAArtStories_427.tif,61.36.14,"Paul Cézanne (French, 1839–1906) 
Three Bathers (detail), 1879–82
Oil on canvas
21 7/16 x 20 5/16 in.
Gift of M. and Mme Henri Matisse, 1936, PPP02099","Petit Palais, Musée des Beaux-Arts de la Ville de Paris",Wikimedia Commons,"Claire MARTIN
Chargée d’études documentaires
Petit Palais, Musée des Beaux-Arts de la Ville de Paris
DAC-ContactDocumentationPetitPalais@paris.fr
",ditto above,Yes,Yes,Yes,
Bathers with Turtle.jpg,2014_TDX_MIAArtStories_439.tif,61.36.14,"Henri Matisse (French, 1869–1954)
Bathers with a Turtle, 1907–08
Oil on canvas
71 1/2 x 87 in.
Gift of Mr. and Mrs. Joseph Pulitzer Jr., 24:1964

  ","Saint Louis Art Museum
© 2015 Succession H. Matisse / Artists Rights Society (ARS), New York",Saint Louis Art Museum,"Rachel Aubuchon
rachel.aubuchon@slam.org",ongoing,Yes,Yes,Yes,
PX063_26092013_2500 (1).jpg,2014_TDX_MIAArtStories_387.tif,61.36.14,"Henri Matisse (French, 1869–1954)
Dance (I),1909
Oil on canvas
102 x 153.5 in.
Gift of Nelson A. Rockefeller in honor of Alfred H. Barr, Jr, 201.1963","
Museum of Modern Art
© 2015 Succession H. Matisse / Artists Rights Society (ARS), New York         ",Estate Matisse via ARS,"Andrea Fisher
afisher@arsny.com",5 years online use,Yes,Yes,Yes,
6144433543_ae70cbdc8c_b.jpg,2014_TDX_MIAArtStories_350.tif,61.36.14,"Beach at Collioure, France, 2011",Jose Gonzalvo Vivas / Flickr,https://www.flickr.com/photos/gonzalvo/6144433543/in/photolist-amXQ2n-an1XmG-amYc1V-an1Lxb-e16CXv-an2YdC-dZRHt3-amYsV6-amXF1P-an1TMS-amZ3tP-amYjaK-an2WBU-amXKDp-an2NuU-an2yhJ-e16NBF-e16N3t-e1cmY7-e1ckaA-an2KDf-amYAaP-an2QdS-amXG2R-e1chz1-amYUwz-amXJ74-e1cidG-amYSer-amXVcc-amYeQT-an1GNC-amXNsv-amXDUT-an1EY1-amYun4-amXMeM-an1R9m-amXXPz-amYqwi-amYGvP-an1VrG-an2gDh-an1ZqY-amZ6pv-amYC46-an2nEu-e1cxho-an2329-an2BYS,,,Yes,Yes,Yes,
PZ041_001.jpg,2014_TDX_MIAArtStories_388.tif,61.36.14,"Henri Matisse (French, 1869–1954)
Gustave Moreau's Studio, 1894–95
Oil on canvas
25.6 x 31.9 in. 

  ","Private collection
© 2015 Succession H. Matisse / Artists Rights Society (ARS), New York         ",Estate Matisse via ARS,"Andrea Fisher
afisher@arsny.com",5 years online use,Yes,Yes,Yes,
ART161314.jpg,2014_TDX_MIAArtStories_404.tif,61.36.14,"Henri Matisse (French, 1869–1954)
Luxe, calme et volupté, 1904
Oil on canvas
38 1/2 x 46 1/2
DO 1985 1, AM 1982 96

  ","Photo: Photo: Hervé Lewandowski © RMN-Grand Palais / Art Resource, NY
Artwork: © Succession H. Matisse / Artists Rights Society (ARS), NY.
",Art Resource,Jennifer Belt: jbelt@artres.com,"ONE-TIME NON-EXCLUSIVE WORLDWIDE ENGLISH LANGUAGE RIGHTS FOR USE OF THE IMAGES IN AN ELECTRONIC EDUCATIONAL PROGRAM ACCESSIBLE ON THE MINNEAPOLIS INSTITUTE OF ARTS WEBSITE, iPADS, TABLETS, MOBILE DEVICES, LAPTOPS AND DESKTOP COMPUTERS FOR A PERIOD OF UP TO 10 YEARS.",Yes,Yes,Yes,
mia_5018814.tif,mia_5018814.tif,61.36.14,"Henri Matisse (French, 1869–1954)
Boy with Butterfly Net, 1907
Oil on canvas
69 3/4 x 45 15/16 in. 
The Ethel Morrison Van Derlip Fund, 51.18 ","© 2014 Minneapolis Institute of Arts
© 2015 Succession H. Matisse / Artists Rights Society (ARS), New York",Media Bin,,,Yes,Yes,Yes,
ART161924.jpg,2014_TDX_MIAArtStories_405.tif,61.36.14,"Henri Matisse (French, 1869–1954)
The Red Studio, 1911
Oil on canvas
71 1/4 x 86 1/4 in. 
Mrs. Simon Guggenheim Fund, 8.1949","Digital image: © The Museum of Modern Art / Licensed by SCALA / Art Resource, NY
Artwork: © 2015 Succession H. Matisse / Artists Rights Society (ARS), NY",Art Resource,Jennifer Belt: jbelt@artres.com,"ONE-TIME NON-EXCLUSIVE WORLDWIDE ENGLISH LANGUAGE RIGHTS FOR USE OF THE IMAGES IN AN ELECTRONIC EDUCATIONAL PROGRAM ACCESSIBLE ON THE MINNEAPOLIS INSTITUTE OF ARTS WEBSITE, iPADS, TABLETS, MOBILE DEVICES, LAPTOPS AND DESKTOP COMPUTERS FOR A PERIOD OF UP TO 10 YEARS.",Yes,Yes,Yes,
