Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
mia_6006429.tif,mia_6006429.tif,2010.86,"Marco Breuer (German, born 1966)
Throw (C-918), 2009
Chromogenic paper, scratched
40 3/16 x 30 9/16 in. (102.08 x 77.63 cm) (outer frame)
The Christina N. and Swan J. Turnblad Memorial Fund 2010.86",,MIA,,"Need Permission- Von Lintel Gallery, New York- David has sent out email on 12/04/2014",Yes,Yes,Yes,
mia_6006429.tif,mia_6006429.tif,2010.86,"Marco Breuer (German, born 1966)
Throw (C-918)
2009
Chromogenic paper, scratched
40 3/16 x 30 9/16 in. (102.08 x 77.63 cm) (outer frame)
The Christina N. and Swan J. Turnblad Memorial Fund 2010.86",,MIA,,"Need Permission- Von Lintel Gallery, New York- David has sent out email on 12/04/2014",Yes,Yes,Yes,Zoom into center
mia_6006429.tif,mia_6006429.tif,2010.86,"Marco Breuer (German, born 1966)
Throw (C-918)
2009
Chromogenic paper, scratched
40 3/16 x 30 9/16 in. (102.08 x 77.63 cm) (outer frame)
The Christina N. and Swan J. Turnblad Memorial Fund 2010.86",,MIA,,"Need Permission- Von Lintel Gallery, New York- David has sent out email on 12/04/2014",Yes,Yes,Yes,Zoom to left side
mia_6006429.tif,mia_6006429.tif,2010.86,"Marco Breuer (German, born 1966)
Throw (C-918)
2009
Chromogenic paper, scratched
40 3/16 x 30 9/16 in. (102.08 x 77.63 cm) (outer frame)
The Christina N. and Swan J. Turnblad Memorial Fund 2010.86",,MIA,,"Need Permission- Von Lintel Gallery, New York- David has sent out email on 12/04/2014",Yes,Yes,Yes,Zoom in on upper edge
mia_2011405.tif,mia_2011405.tif,2010.86,"Anna Atkins (English, 1799-1871)
New Zealand
c. 1853-1854
Cyanotype
13 7/8 x 9 7/8 in. (35.24 x 25.08 cm) (image, sheet) 19 1/16 x 14 3/4 in. (48.42 x 37.47 cm) (mount)
The William Hood Dunwoody Fund 2006.10",,MIA,,Public Domain,Yes,Yes,Yes,
mia_71848a.tif,mia_71848a.tif,2010.86,"László Moholy-Nagy (American, born Hungary, 1895 - 1946)
Fotogram II
1923
Gelatin silver print (printed 1929)
15 11/16 x 11 13/16 in. (39.85 x 30 cm) (image, sheet)
The Alfred and Ingrid Lenz Harrison Fund 2002.21 
© Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",,MIA,afisher@arsny.com,Andrea responded and would like all images going to ARS to come in one email.  Permissions if granted will last 5 years,Yes,Yes,Yes,
100310_mia336_0609.jpg,100310_mia336_0609.jpg,2010.86,"Marco Breuer reinstallation of gallery, Perlman Gallery, Minneapolis Institute of Arts.",,MIA,,,Yes,Yes,Yes,
100311_mia336_8646.jpg,100311_mia336_8646.jpg,2010.86,"Exhibition ""New Pictures 2: Marco Breuer"", Perlman Gallery, Minneapolis Institute of Arts.",,MIA,,,Yes,Yes,Yes,
100311_mia177_138.jpg,100311_mia177_138.jpg,2010.86,"The Circle Exclusive event, Meet the Artist: Marco Breuer. March 11, 2010.",,MIA,,,Yes,Yes,Yes,
800px-Woodwards_building_Vancouver_demolition_1.jpg,2014_TDX_MIAArtStories_194.tif,2013.21,"The Woodward's building in Vancouver, Canada, collapsing as it is demolished using explosives. The photographer was standing on top of a building across the street. (2006).",Wiki Commons,http://commons.wikimedia.org/wiki/File:Woodwards_building_Vancouver_demolition_1.jpg,,"Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts. A copy of the license is included in the section entitled GNU Free Documentation License.",Yes,Yes,Yes,"The Woodward's building in Vancouver, Canada, collapsing as it is demolished using explosives. The photographer was standing on top of a building across the street. (2006)
30 September 2006
(13 September 2007(originial upload date)
size of preview: 800 x 534 pixels. Original file (2,861 x 1,909 pixels, file size: 2.02 MB, MIME tpe: image/jpeg"
2421539.jpg,2014_TDX_MIAArtStories_257.tif,2013.21,"Just outside Nesters Market in the Woodwards building is anew photographic mural showing the Gastown Riot.
By: Bill Keay.","Vancouver Sun
Bill Keay",http://www.vancouversun.com/sports/public+artwork+memorializes+gastown+riot/2421478/story.html,http://www.sunprovince.com/reprints/,Responded via email.  They are willing to let us use the image but require a fee of $85 and an additional $35 if we need a JPEG,Yes,Yes,Yes,"Existing jpeg is acceptable, no need to pay another $35. - Jlynn"
Stan_Douglas_W_set_8_0_opt_EXPORT.jpg,2014_TDX_MIAArtStories_259.tif,2013.21,Public art close up of group of police standing next to a blue car and a yellow car.,Westbank,http://westbankcorp.com/stan-douglas,alexismitchell@hpaserver.henriquezpartners.com,Requested permissions on 11/24/214,Yes,Yes,Yes,
150104_LynnScreenGrab_001.tiff,2014_TDX_MIAArtStories_303.tif,2013.21,"Screenshot, Google Maps, Corner of Abbott and Cordova.",,,,,Yes,Yes,Yes,"Josh created screen grab on January 4, 2015 – replicated view as closely as possible. David, please review / approve – JLYNN"
10_Soviet_Invasion_of_Czechoslovakia_-_Flickr_-_The_Central_Intelligence_Agency,2014_TDX_MIAArtStories_344.tif,2013.21,"1968. During the Soviet invasion of Czechoslovakia, Czechoslovaks carry their national flag past a burning Soviet tank in Prague. Photo from ""CIA Analysis of the Warsaw Pact Forces: The Importance of Clandestine Reporting"".",,,,"This image is a work of an employee of the Executive Office of the President of the United States, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
400px-March_on_Washington_edit,2014_TDX_MIAArtStories_345.tif,2013.21,March on Washington.,,,,"This photograph is a work for hire created between 1952 and 1986 by one of the following staff photographers at U.S. News & World Report:
Warren K. Leffler (WKL)
Thomas J. O'Halloran (TOH)
Marion S. Trikosko (MST)
John Bledsoe (JTB)
Chick Harrity (CWH)
It is part of a collection donated to the Library of Congress. Per the deed of gift, U.S. News & World Report dedicated to the public all rights it held for the photographs in this collection upon its donation to the Library. Thus, there are no known restrictions on the usage of this photograph.",Yes,Yes,Yes,
French_workers_with_placard_during_occupation_of_their_factory_1968,2014_TDX_MIAArtStories_346.tif,2013.21,"French Workers, 1968.",,,,"Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",Yes,Yes,Yes,
Vietnamdem,2014_TDX_MIAArtStories_347.tif,2013.21,Vietnam.,,,,"This image is a work of a U.S. Army soldier or employee, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
Vietnamprotestors,2014_TDX_MIAArtStories_348.tif,2013.21,Members of the military police keep back protesters during their sit-in at the Mall Entrance to the Pentagon.,,,,"This image is a work of a U.S. Army soldier or employee, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
140702_mia336_001.tif,140702_mia336_001.tif,2013.21,"Stan Douglas (Canadian, born 1960)
Abbott & Cordova, 7 August 1971
2008
Chromogenic print mounted on aluminum
73 5/8 x 118 x 2 1/2 in. (187.01 x 299.72 x 6.35 cm) (outer frame) 70 x 114 1/2 in. (177.8 x 290.83 cm) (image)
The Alfred and Ingrid Lenz Harrison Purchase Fund 2013.21",© 2014 Minneapolis Institute of Arts,MIA,,Public Domain,Yes,Yes,Yes,
stan-douglas- photo05.jpg,stan-douglas- photo05.jpg,2013.21,Stan Douglas.,© 2014 Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,
121101_mia336_0975.jpg,121101_mia336_0975.jpg,2013.21,"Exhibition ""New Pictures 7: Stan Douglas; Then and Now""; Gallery 368, Minneapolis Institute of Arts.",© 2014 Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,
121101_mia336_0974.jpg,121101_mia336_0974.jpg,2013.21,"Installation views of the exhibition ""New Pictures 7: Stan Douglas; Then and Now""; Gallery 368, Minneapolis Institute of Arts.",© 2014 Minneapolis Institute of Arts,MIA,,,Yes,Yes,Yes,
William Kentridge DSC 2685.JPG,2014_TDX_MIAArtStories_242.tif,2014.21,"William Kentridge at exhibition opening in Melbourne on 7 March 2012 at ACMI, Melbourne, Australia.",,http://commons.wikimedia.org/wiki/File:William_Kentridge_DSC_2685.JPG,,This file is licensed under the Creative Commons Attribution-Share Alike 3.0 Unported license.,Yes,Yes,Yes,
The Nose 3 2013.jpg,2014_TDX_MIAArtStories_245.tif,2014.21,The Nose at The Metropolitan Opera in New York October 2013.,,http://commons.wikimedia.org/wiki/File:The_Nose_3_2013.jpg,,This file is licensed under the Creative Commons Attribution 2.0 ,Yes,Yes,Yes,
The Nose 6 2013.jpg,2014_TDX_MIAArtStories_246.tif,2014.21,The Nose at The Metropolitan Opera in New York October 2013 second scene.,,http://commons.wikimedia.org/wiki/File:The_Nose_6_2013.jpg,,This file is licensed under the Creative Commons Attribution 2.0 ,Yes,Yes,Yes,
The Nose 11 2013.jpg,2014_TDX_MIAArtStories_247.tif,2014.21,The Nose at The Metropolitan Opera in New York October 2013.,,http://commons.wikimedia.org/wiki/File:The_Nose_11_2013.jpg,,This file is licensed under the Creative Commons Attribution 2.0 ,Yes,Yes,Yes,
14831kentridge_nl1.jpg,2014_TDX_MIAArtStories_256.tif,2014.21,Frame by Frame.,Neo Muyanga,"http://neomuyanga.files.wordpress.com/2014/06/14831kentridge_nl1.jpg 

http://neomuyanga.wordpress.com/",,Neo Muyanga is allowing us to use image,Yes,Yes,Yes,
neobiog.jpg,2014_TDX_MIAArtStories_258.tif,2014.21,Neo Muyanga.,Neo Muyanga,http://www.neosong.net/biography.html ,,Neo Muyanga is allowing us to use image,Yes,Yes,Yes,
140618_mia336_001.tif,140618_mia336_001.tif,2014.21,"Second-hand Reading
2013
William Kentridge (South Africa, Africa)
Single video projection with stereo audio
7 minutes duration
The William Hood Dunwoody Fund 2014.21",,MIA,,Needs Permission- David has sent out email on 12/04/2014,Yes,Yes,Yes,
NEED IMAGE,NEED IMAGE,2014.21,Screenshort from Art21 video- Audio.,,http://www.philipmiller.info/audio/music-from-william-kentridges-9-drawings-for-projection/#prettyPhoto,,Needs Permission- permission requested on 12/03/2014,No,No,No,NEED IMAGE
"Charles Lindbergh and the Spirit of Saint Louis (Crisco restoration, with wings).jpg",2014_TDX_MIAArtStories_190.tif,2007.110.2,Charles Lindbergh.,,"http://en.wikipedia.org/wiki/File:Charles_Lindbergh_and_the_Spirit_of_Saint_Louis_%28Crisco_restoration,_with_wings%29.jpg ",,Public Domain,Yes,Yes,Yes,
thumbs_steidl-sothmisscover,2014_TDX_MIAArtStories_307.tif,2007.110.2,Cover of original edition of Sleeping by the Mississippi; promo images from the Biennial.,Alec Soth,,,Permission is granted by Alec Soth on 01/07/2014,Yes,Yes,Yes,
mia_5004263.tif,mia_5004263.tif,2007.110.2,"Alec William Soth (American, born 1969)
Charles, Vasa, Minnesota
2002
Chromogenic print
50 1/8 x 40 1/8 in. (127.32 x 101.92 cm)
Gift of the artist and Dan and Mary Solomon 2007.110.2 
© Alec Soth",Alec Soth,,weinsteingallery@gmail.com,Alec Soth okayed the use of his image for artstories,Yes,Yes,Yes,
mia_39244a.tif,mia_39244a.tif,2007.110.2,"Arnold Newman (American, 1918 - 2006)
Henri Cartier-Bresson, New York City
1947
Gelatin silver print
9 7/16 x 13 3/16 in. (23.97 x 33.5 cm) (image) 11 x 13 7/8 in. (27.94 x 35.24 cm) (sheet)
The Alfred and Ingrid Lenz Harrison Fund 2003.148.3 
© Arnold Newman Properties/Getty Images",Arnold Newman Properties/ Getty Images,MIA,,Non-Commerical Use,Yes,Yes,Yes,
mia_5004263.tif,mia_5004263.tif,2007.110.2,"Alec William Soth (American, born 1969)
Charles, Vasa, Minnesota
2002
Chromogenic print
50 1/8 x 40 1/8 in. (127.32 x 101.92 cm)
Gift of the artist and Dan and Mary Solomon 2007.110.2 
© Alec Soth",Alec Soth,mia_5004263.tif ,weinsteingallery@gmail.com,Alec Soth okayed the use of his image for artstories,Yes,Yes,Yes,Zoom of Charles
mia_5004263.tif,mia_5004263.tif,2007.110.2,"Alec William Soth (American, born 1969)
Charles, Vasa, Minnesota
2002
Chromogenic print
50 1/8 x 40 1/8 in. (127.32 x 101.92 cm)
Gift of the artist and Dan and Mary Solomon 2007.110.2 
© Alec Soth",Alec Soth,mia_5004263.tif ,weinsteingallery@gmail.com,Alec Soth okayed the use of his image for artstories,Yes,Yes,Yes,Zoom on background
