Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
Various (MIA Photography),N/A,93.20,"Grainstack, Sun in the Mist
1891
Claude Monet
France, Europe
Oil on canvas
23 5/8 x 39 1/2 in. (60 x 100.3 cm) 33 x 48 3/4 x 3 7/8 in. (83.82 x 123.83 x 9.84 cm) (outer frame)",© 2014 Minneapolis Institute of Arts,MIA,,public domain,Yes,Yes,Yes,
"1024px-Haystacks_like_those_of_Claude_Monet,_Giverny_2011.jpg",2014_TDX_MIAArtStories_262.tif,93.20,"Haystacks, Giverny, 2011","Philippe Alès, Wikimedia Commons","http://commons.wikimedia.org/wiki/File:Haystacks_like_those_of_Claude_Monet,_Giverny_2011.JPG",,public domain,Yes,Yes,Yes,
Met Grainstacks.jpg,2014_TDX_MIAArtStories_280.tif,93.20,"Haystacks (Effect of Snow and Sun)
Claude Monet 
(French, 1840–1926)
1891
Oil on canvas
25 3/4 x 36 1/4 in. (65.4 x 92.1 cm)
Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929
Accession Number: 29.100.109","The Metropolitan Museum of Art, www.metmuseum.org",http://www.metmuseum.org/collection/the-collection-online/search/437122,,public domain | OASC,Yes,Yes,Yes,
NEED IMAGE,NEED IMAGE,93.20,,,MFA Boston,,,No,No,No,
Vassily-Kandinsky.jpg,2014_TDX_MIAArtStories_295.tif,93.20,Wassily Kandinsky. c 1913. From Wassily Kandinsky (1913). Rückblicke. Berlin: Sturm Verlag.,Wikimedia Commons,http://commons.wikimedia.org/wiki/File:Vassily-Kandinsky.jpeg,,public domain,Yes,Yes,Yes,
1951-109-1-pma.jpg,2014_TDX_MIAArtStories_266.tif,93.20,"Poplars
Claude Monet, French, 1840 - 1926
1891
Oil on canvas
36 5/8 x 29 3/16 inches (93 x 74.1 cm) Frame: 46 3/4 × 40 1/4 × 5 inches (118.7 × 102.2 × 12.7 cm)
Accession number: 1951-109-1
Credit line: The Chester Dale Collection, 1951","Philadelphia Museum of Art, http://www.philamuseum.org",http://www.philamuseum.org/collections/permanent/52186.html?mulR=847072192|2,,public domain | PMA blanket permission,Yes,Yes,Yes,
Met Monet Poplars.jpg,2014_TDX_MIAArtStories_281.tif,93.20,"The Four Trees
Claude Monet 
(French, Paris 1840–1926 Giverny)
Date: 1891
Medium: Oil on canvas
Dimensions: 32 1/4 x 32 1/8 in. (81.9 x 81.6 cm)
Classification: Paintings
Credit Line: H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929
Accession Number: 29.100.110","The Metropolitan Museum of Art, www.metmuseum.org",http://www.metmuseum.org/collection/the-collection-online/search/437121,,public domain | OASC,Yes,Yes,Yes,
Getty Rouen Cathedral.jpg,2014_TDX_MIAArtStories_274.tif,93.20,"Claude Monet (French, 1840 - 1926)
The Portal of Rouen Cathedral in Morning Light, 1894, Oil on canvas
Unframed: 100.3 x 65.1 cm (39 1/2 x 25 5/8 in.)
Framed: 113.3 x 77.5 x 5.7 cm (44 5/8 x 30 1/2 x 2 1/4 in.)
The J. Paul Getty Museum, Los Angeles",Digital image courtesy of the Getty's Open Content Program,http://www.getty.edu/art/gettyguide/artObjectDetails?artobj=142049,,public domain | Open Content Program,Yes,Yes,Yes,
A15353.jpg,2014_TDX_MIAArtStories_267.tif,93.20,"Claude Monet
French, 1840 - 1926
Rouen Cathedral, West Façade, Sunlight
1894
oil on canvas
overall: 100.1 x 65.8 cm (39 3/8 x 25 7/8 in.)
framed: 127.6 x 91.4 cm (50 1/4 x 36 in.)
Chester Dale Collection 1963.10.179
","Courtesy National Gallery of Art, Washington",https://images.nga.gov/en/search/do_quick_search.html?q=%221963.10.179%22,,public domain | Open Access,Yes,Yes,Yes,
NEED IMAGE,NEED IMAGE,93.20,,,MFA Boston,,,No,No,No,
