Original File Name,Renamed File Name,Associated MIA Object,Object Credit / Description,Photo Credit,Image Source,Contact Info,Permissions,Image Received & QC'd,Image Pass QC,Image Ready for Release,Additional Notes
140702_mia336_001.tif,N/A,2013.21,"Abbott & Cordova, 7 August 1971
2008
Stan Douglas
Canada, North America
Chromogenic print mounted on aluminum
73 5/8 x 118 x 2 1/2 in. (187.01 x 299.72 x 6.35 cm) (outer frame) 70 x 114 1/2 in. (177.8 x 290.83 cm) (image)",© 2014 Minneapolis Institute of Arts,MIA,,Public Domain,Yes,Yes,Yes,
2421539.jpg,2014_TDX_MIAArtStories_257.tif,2013.21,"Just outside Nesters Market in the Woodwards building is anew photographic mural showing the Gastown Riot
By: Bill Keay","Vancouver Sun
Bill Keay",http://www.vancouversun.com/sports/public+artwork+memorializes+gastown+riot/2421478/story.html,http://www.sunprovince.com/reprints/,Responded via email.  They are willing to let us use the image but require a fee of $85 and an additional $35 if we need a JPEG,Yes,Yes,Yes,"Existing jpeg is acceptable, no need to pay another $35. - Jlynn"
150104_LynnScreenGrab_001.tiff,2014_TDX_MIAArtStories_303.tif,2013.21,"Screenshot, Google Maps, Corner of Abbott and Cordova",,,,,Yes,Yes,Yes,"Josh created screen grab on January 4, 2015 – replicated view as closely as possible. David, please review / approve – JLYNN"
800px-Woodwards_building_Vancouver_demolition_1.jpg,2014_TDX_MIAArtStories_194.tif,2013.21,"The Woodward's building in Vancouver, Canada, collapsing as it is demolished using explosives. The photographer was standing on top of a building across the street. (2006)
30 September 2006
(13 September 2007(originial upload date)
size of preview: 800 x 534 pixels. Original file (2,861 x 1,909 pixels, file size: 2.02 MB, MIME tpe: image/jpeg",Wiki Commons,http://commons.wikimedia.org/wiki/File:Woodwards_building_Vancouver_demolition_1.jpg,,"Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts. A copy of the license is included in the section entitled GNU Free Documentation License.",Yes,Yes,Yes,
Stan_Douglas_W_set_8_0_opt_EXPORT.jpg,2014_TDX_MIAArtStories_259.tif,2013.21,Public art close up of group of police standing next to a blue car and a yellow car,Westbank,http://westbankcorp.com/stan-douglas,alexismitchell@hpaserver.henriquezpartners.com,Requested permissions on 11/24/214,Yes,Yes,Yes,
stan-douglas- photo05.jpg,N/A,2013.21,Stan Douglas,MIA,MIA,,,Yes,Yes,Yes,
121101_mia336_0975.jpg,N/A,2013.21,"exhibition ""New Pictures 7: Stan Douglas; Then and Now""; gallery 368",MIA,MIA,,,Yes,Yes,Yes,
121101_mia336_0974.jpg,N/A,2013.21,"Installation views of the exhibition ""New Pictures 7: Stan Douglas; Then and Now""; gallery 368",MIA- Amanda Hankerson,MIA,,,Yes,Yes,Yes,
400px-March_on_Washington_edit,2014_TDX_MIAArtStories_345.tif,2013.21,March on Washington,,,,"This photograph is a work for hire created between 1952 and 1986 by one of the following staff photographers at U.S. News & World Report:
Warren K. Leffler (WKL)
Thomas J. O'Halloran (TOH)
Marion S. Trikosko (MST)
John Bledsoe (JTB)
Chick Harrity (CWH)
It is part of a collection donated to the Library of Congress. Per the deed of gift, U.S. News & World Report dedicated to the public all rights it held for the photographs in this collection upon its donation to the Library. Thus, there are no known restrictions on the usage of this photograph.",Yes,Yes,Yes,
French_workers_with_placard_during_occupation_of_their_factory_1968,2014_TDX_MIAArtStories_346.tif,2013.21,French Workers 1968,,,,"Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",Yes,Yes,Yes,
10_Soviet_Invasion_of_Czechoslovakia_-_Flickr_-_The_Central_Intelligence_Agency,2014_TDX_MIAArtStories_344.tif,2013.21,"1968. During the Soviet invasion of Czechoslovakia, Czechoslovaks carry their national flag past a burning Soviet tank in Prague.
Photo from ""CIA Analysis of the Warsaw Pact Forces: The Importance of Clandestine Reporting""",,,,"This image is a work of an employee of the Executive Office of the President of the United States, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
Vietnamdem,2014_TDX_MIAArtStories_347.tif,2013.21,"Vietnam
",,,,"This image is a work of a U.S. Army soldier or employee, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
Vietnamprotestors,2014_TDX_MIAArtStories_348.tif,2013.21,Members of the military police keep back protesters during their sit-in at the Mall Entrance to the Pentagon,,,,"This image is a work of a U.S. Army soldier or employee, taken or made as part of that person's official duties. As a work of the U.S. federal government, the image is in the public domain.",Yes,Yes,Yes,
5a. P0710039a,2014_TDX_MIAArtStories_341.tif,"2013.22.1
","Atomic Bomb Exploding, Bikini-Atoll (""Bravo"" Blast, 1st March, 1954)
1954
Artist Unknown
(United States, North America)
Chromogenic print
6 7/8 x 9 7/16 in. (17.46 x 23.97 cm) (image) 8 1/2 x 11 in. (21.59 x 27.94 cm) (sheet)
The Robert C. Winton Fund 
2012.87.3.1",,MIA,,Public Domain,Yes,Yes,Yes,
